Time,Oxygen Level,Pulse Rate,Motion
22:11:19 02/07/2026,98,51,0
22:11:20 02/07/2026,98,51,0
22:11:21 02/07/2026,98,52,0
22:11:22 02/07/2026,98,53,0
22:11:23 02/07/2026,98,54,0
22:11:24 02/07/2026,98,55,0
22:11:25 02/07/2026,98,56,0
22:11:26 02/07/2026,98,57,0
22:11:27 02/07/2026,98,57,0
22:11:28 02/07/2026,98,57,0
22:11:29 02/07/2026,98,57,0
22:11:30 02/07/2026,98,57,0
22:11:31 02/07/2026,98,57,0
22:11:32 02/07/2026,98,57,0
22:11:33 02/07/2026,98,57,0
22:11:34 02/07/2026,98,57,0
22:11:35 02/07/2026,98,58,0
22:11:36 02/07/2026,98,56,0
22:11:37 02/07/2026,98,55,0
22:11:38 02/07/2026,98,55,0
22:11:39 02/07/2026,98,54,0
22:11:40 02/07/2026,98,55,0
22:11:41 02/07/2026,98,57,0
22:11:42 02/07/2026,98,57,0
22:11:43 02/07/2026,98,55,0
22:11:44 02/07/2026,98,56,0
22:11:45 02/07/2026,98,56,0
22:11:46 02/07/2026,98,56,0
22:11:47 02/07/2026,98,56,0
22:11:48 02/07/2026,98,56,0
22:11:49 02/07/2026,98,56,0
22:11:50 02/07/2026,98,56,0
22:11:51 02/07/2026,98,56,0
22:11:52 02/07/2026,98,55,0
22:11:53 02/07/2026,98,55,0
22:11:54 02/07/2026,98,56,0
22:11:55 02/07/2026,98,56,0
22:11:56 02/07/2026,98,56,0
22:11:57 02/07/2026,98,56,0
22:11:58 02/07/2026,98,55,0
22:11:59 02/07/2026,97,55,0
22:12:00 02/07/2026,96,56,2
22:12:01 02/07/2026,96,55,0
22:12:02 02/07/2026,95,55,0
22:12:03 02/07/2026,95,55,0
22:12:04 02/07/2026,94,55,0
22:12:05 02/07/2026,94,56,0
22:12:06 02/07/2026,95,56,0
22:12:07 02/07/2026,95,56,0
22:12:08 02/07/2026,95,56,0
22:12:09 02/07/2026,95,56,0
22:12:10 02/07/2026,95,56,0
22:12:11 02/07/2026,95,56,0
22:12:12 02/07/2026,95,56,0
22:12:13 02/07/2026,95,56,0
22:12:14 02/07/2026,95,56,0
22:12:15 02/07/2026,95,56,0
22:12:16 02/07/2026,95,55,0
22:12:17 02/07/2026,96,55,0
22:12:18 02/07/2026,96,54,0
22:12:19 02/07/2026,97,53,0
22:12:20 02/07/2026,97,53,0
22:12:21 02/07/2026,97,52,0
22:12:22 02/07/2026,97,52,0
22:12:23 02/07/2026,97,52,0
22:12:24 02/07/2026,97,52,0
22:12:25 02/07/2026,97,52,0
22:12:26 02/07/2026,97,52,0
22:12:27 02/07/2026,97,52,0
22:12:28 02/07/2026,97,52,0
22:12:29 02/07/2026,97,52,0
22:12:30 02/07/2026,97,52,0
22:12:31 02/07/2026,97,52,0
22:12:32 02/07/2026,97,52,0
22:12:33 02/07/2026,97,52,0
22:12:34 02/07/2026,97,52,0
22:12:35 02/07/2026,97,52,0
22:12:36 02/07/2026,97,52,0
22:12:37 02/07/2026,97,52,0
22:12:38 02/07/2026,97,52,0
22:12:39 02/07/2026,97,52,2
22:12:40 02/07/2026,97,52,0
22:12:41 02/07/2026,97,52,0
22:12:42 02/07/2026,97,52,0
22:12:43 02/07/2026,97,52,0
22:12:44 02/07/2026,97,52,0
22:12:45 02/07/2026,97,52,0
22:12:46 02/07/2026,97,52,0
22:12:47 02/07/2026,97,52,4
22:12:48 02/07/2026,97,52,0
22:12:49 02/07/2026,97,52,0
22:12:50 02/07/2026,97,52,2
22:12:51 02/07/2026,97,52,0
22:12:52 02/07/2026,97,52,4
22:12:53 02/07/2026,97,52,0
22:12:54 02/07/2026,97,52,0
22:12:55 02/07/2026,97,52,2
22:12:56 02/07/2026,97,53,0
22:12:57 02/07/2026,96,53,0
22:12:58 02/07/2026,96,54,4
22:12:59 02/07/2026,96,54,0
22:13:00 02/07/2026,96,54,0
22:13:01 02/07/2026,96,54,0
22:13:02 02/07/2026,96,55,0
22:13:03 02/07/2026,96,55,0
22:13:04 02/07/2026,96,59,0
22:13:05 02/07/2026,96,60,0
22:13:06 02/07/2026,96,62,0
22:13:07 02/07/2026,96,63,0
22:13:08 02/07/2026,96,61,0
22:13:09 02/07/2026,96,62,0
22:13:10 02/07/2026,96,62,0
22:13:11 02/07/2026,96,62,0
22:13:12 02/07/2026,97,61,0
22:13:13 02/07/2026,97,61,0
22:13:14 02/07/2026,97,60,0
22:13:15 02/07/2026,97,59,0
22:13:16 02/07/2026,97,58,0
22:13:17 02/07/2026,97,58,4
22:13:18 02/07/2026,97,58,0
22:13:19 02/07/2026,97,58,0
22:13:20 02/07/2026,97,57,0
22:13:21 02/07/2026,97,57,0
22:13:22 02/07/2026,97,57,0
22:13:23 02/07/2026,97,58,0
22:13:24 02/07/2026,97,57,0
22:13:25 02/07/2026,97,57,0
22:13:26 02/07/2026,98,56,0
22:13:27 02/07/2026,98,56,0
22:13:28 02/07/2026,98,56,0
22:13:29 02/07/2026,98,55,0
22:13:30 02/07/2026,98,54,0
22:13:31 02/07/2026,98,53,0
22:13:32 02/07/2026,98,52,0
22:13:33 02/07/2026,98,52,0
22:13:34 02/07/2026,98,52,0
22:13:35 02/07/2026,98,52,0
22:13:36 02/07/2026,98,52,0
22:13:37 02/07/2026,98,52,0
22:13:38 02/07/2026,98,51,0
22:13:39 02/07/2026,98,51,0
22:13:40 02/07/2026,98,50,0
22:13:41 02/07/2026,98,50,0
22:13:42 02/07/2026,98,50,0
22:13:43 02/07/2026,98,50,0
22:13:44 02/07/2026,98,51,0
22:13:45 02/07/2026,98,51,0
22:13:46 02/07/2026,98,51,0
22:13:47 02/07/2026,98,51,0
22:13:48 02/07/2026,98,51,0
22:13:49 02/07/2026,98,51,0
22:13:50 02/07/2026,98,51,0
22:13:51 02/07/2026,98,51,0
22:13:52 02/07/2026,98,51,0
22:13:53 02/07/2026,98,50,0
22:13:54 02/07/2026,98,51,0
22:13:55 02/07/2026,98,51,0
22:13:56 02/07/2026,97,51,0
22:13:57 02/07/2026,97,51,0
22:13:58 02/07/2026,97,51,0
22:13:59 02/07/2026,97,51,0
22:14:00 02/07/2026,97,51,0
22:14:01 02/07/2026,97,51,0
22:14:02 02/07/2026,97,51,0
22:14:03 02/07/2026,97,51,0
22:14:04 02/07/2026,97,51,0
22:14:05 02/07/2026,97,51,0
22:14:06 02/07/2026,97,51,0
22:14:07 02/07/2026,97,51,0
22:14:08 02/07/2026,97,51,0
22:14:09 02/07/2026,97,52,0
22:14:10 02/07/2026,97,51,0
22:14:11 02/07/2026,97,51,0
22:14:12 02/07/2026,97,52,0
22:14:13 02/07/2026,97,52,0
22:14:14 02/07/2026,98,52,0
22:14:15 02/07/2026,98,53,0
22:14:16 02/07/2026,98,53,0
22:14:17 02/07/2026,98,53,0
22:14:18 02/07/2026,98,53,0
22:14:19 02/07/2026,97,53,0
22:14:20 02/07/2026,97,53,0
22:14:21 02/07/2026,97,54,0
22:14:22 02/07/2026,97,54,0
22:14:23 02/07/2026,97,53,0
22:14:24 02/07/2026,97,53,0
22:14:25 02/07/2026,97,53,0
22:14:26 02/07/2026,97,54,0
22:14:27 02/07/2026,97,54,0
22:14:28 02/07/2026,97,54,0
22:14:29 02/07/2026,97,54,0
22:14:30 02/07/2026,97,55,0
22:14:31 02/07/2026,97,56,0
22:14:32 02/07/2026,97,56,0
22:14:33 02/07/2026,97,56,0
22:14:34 02/07/2026,97,55,0
22:14:35 02/07/2026,98,55,0
22:14:36 02/07/2026,98,55,0
22:14:37 02/07/2026,98,54,0
22:14:38 02/07/2026,98,54,0
22:14:39 02/07/2026,98,53,0
22:14:40 02/07/2026,98,52,0
22:14:41 02/07/2026,98,51,0
22:14:42 02/07/2026,98,52,0
22:14:43 02/07/2026,98,53,0
22:14:44 02/07/2026,98,53,0
22:14:45 02/07/2026,98,52,0
22:14:46 02/07/2026,98,51,0
22:14:47 02/07/2026,97,52,0
22:14:48 02/07/2026,97,52,0
22:14:49 02/07/2026,97,52,0
22:14:50 02/07/2026,97,52,0
22:14:51 02/07/2026,97,51,0
22:14:52 02/07/2026,97,51,0
22:14:53 02/07/2026,97,52,0
22:14:54 02/07/2026,97,52,0
22:14:55 02/07/2026,98,51,0
22:14:56 02/07/2026,98,52,0
22:14:57 02/07/2026,98,52,0
22:14:58 02/07/2026,98,52,0
22:14:59 02/07/2026,98,52,6
22:15:00 02/07/2026,98,51,6
22:15:01 02/07/2026,98,51,0
22:15:02 02/07/2026,98,51,0
22:15:03 02/07/2026,98,51,0
22:15:04 02/07/2026,98,51,0
22:15:05 02/07/2026,98,51,0
22:15:06 02/07/2026,98,51,0
22:15:07 02/07/2026,98,51,0
22:15:08 02/07/2026,98,52,0
22:15:09 02/07/2026,98,52,0
22:15:10 02/07/2026,98,52,0
22:15:11 02/07/2026,98,52,0
22:15:12 02/07/2026,98,52,0
22:15:13 02/07/2026,98,52,0
22:15:14 02/07/2026,98,52,0
22:15:15 02/07/2026,97,51,0
22:15:16 02/07/2026,97,50,0
22:15:17 02/07/2026,97,50,0
22:15:18 02/07/2026,96,51,0
22:15:19 02/07/2026,96,51,0
22:15:20 02/07/2026,96,51,0
22:15:21 02/07/2026,95,51,0
22:15:22 02/07/2026,95,52,0
22:15:23 02/07/2026,95,53,0
22:15:24 02/07/2026,94,54,0
22:15:25 02/07/2026,94,55,0
22:15:26 02/07/2026,94,55,0
22:15:27 02/07/2026,94,55,0
22:15:28 02/07/2026,94,55,0
22:15:29 02/07/2026,94,55,4
22:15:30 02/07/2026,95,54,0
22:15:31 02/07/2026,95,53,0
22:15:32 02/07/2026,95,52,0
22:15:33 02/07/2026,95,51,0
22:15:34 02/07/2026,95,51,0
22:15:35 02/07/2026,95,50,2
22:15:36 02/07/2026,96,49,0
22:15:37 02/07/2026,96,49,0
22:15:38 02/07/2026,96,49,0
22:15:39 02/07/2026,97,49,0
22:15:40 02/07/2026,97,49,0
22:15:41 02/07/2026,97,50,0
22:15:42 02/07/2026,97,50,0
22:15:43 02/07/2026,97,51,0
22:15:44 02/07/2026,97,51,0
22:15:45 02/07/2026,97,52,0
22:15:46 02/07/2026,97,51,0
22:15:47 02/07/2026,97,52,0
22:15:48 02/07/2026,97,52,0
22:15:49 02/07/2026,97,52,0
22:15:50 02/07/2026,97,52,0
22:15:51 02/07/2026,97,52,0
22:15:52 02/07/2026,97,52,0
22:15:53 02/07/2026,97,52,0
22:15:54 02/07/2026,97,54,0
22:15:55 02/07/2026,97,54,0
22:15:56 02/07/2026,97,55,0
22:15:57 02/07/2026,97,55,0
22:15:58 02/07/2026,97,55,0
22:15:59 02/07/2026,97,56,0
22:16:00 02/07/2026,97,56,0
22:16:01 02/07/2026,97,56,0
22:16:02 02/07/2026,97,55,0
22:16:03 02/07/2026,97,55,0
